<p style="text-align:justify;">Chạy chương trình sau hiển thị kết quả gì?</p><p style="text-align:justify;">$a = 7;</p><p style="text-align:justify;">function add(&amp;$b){ return $b++; }</p><p style="text-align:justify;">add($a);</p><p style="text-align:justify;">echo $a;</p>	9	7	8	6	8	<p><span style="font-weight: bold;">Đáp án đúng là</span>: 8</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Biến a thay đổi do truyền tham chiếu.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 3: PHP và MySQL cơ bản, Mục 3.2.1. Biến, toán tử, cấu trúc lập trình với PHP.</p>
<p style="text-align:justify;">Chạy chương trình sau hiển thị kết quả gì?</p><p style="text-align:justify;">class Number {</p><p style="text-align:justify;">&nbsp;&nbsp;&nbsp;&nbsp; public $a = 5;</p><p style="text-align:justify;">&nbsp;&nbsp;&nbsp;&nbsp; public function __construct($b) { $a = $b + 3; }</p><p style="text-align:justify;">}</p><p style="text-align:justify;">$num = new Number(3);</p><p style="text-align:justify;">echo $num-&gt;a;</p>	8	11	Lỗi chương trình.	5	5<p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Vẫn hiển thị giá trị ban đầu của $a ở phần định nghĩa. Giá trị $a không đổi.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 3: PHP và MySQL cơ bản, Mục 3.2.1. Biến, toán tử, cấu trúc lập trình với PHP.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: 5</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Vẫn hiển thị giá trị ban đầu của $a ở phần định nghĩa. Giá trị $a không đổi.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 3: PHP và MySQL cơ bản, Mục 3.2.1. Biến, toán tử, cấu trúc lập trình với PHP.</p>
<p style="text-align:justify;">Điều kiện để đảm bảo khi gọi hàm không gặp lỗi là gì?</p>	Các đối số phải nhỏ hơn các tham số.	Các đối không cùng thứ tự với các tham số.	Các đối số phải cùng một kiểu dữ liệu.	Các đối số phải cùng thứ tự với các tham số.	Các đối số phải cùng thứ tự với các tham số.	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Các đối số phải cùng thứ tự với các tham số.</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Muốn gọi hàm không lỗi thì các đối số phải cùng thứ tự với các tham số.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 3: PHP và MySQL cơ bản, Mục 3.2.1. Biến, toán tử, cấu trúc lập trình với PHP.</p>
<p style="text-align:justify;">Để viết một hàm không trả về dữ liệu thì làm cách nào sau đây?</p>	Viết return NULL vào thân hàm.	Không viết return NULL.	Không viết return.	Viết return NULL vào cuối thân hàm.	Không viết return.<p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Hàm không trả về dữ liệu thì không cần return.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 3: PHP và MySQL cơ bản, Mục 3.2.1. Biến, toán tử, cấu trúc lập trình với PHP.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Không viết return.</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Hàm không trả về dữ liệu thì không cần return.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 3: PHP và MySQL cơ bản, Mục 3.2.1. Biến, toán tử, cấu trúc lập trình với PHP.</p>
<p style="text-align:justify;">Chạy chương trình sau hiển thị kết quả gì?</p><p style="text-align:justify;">$a = 5;</p><p style="text-align:justify;">function add($b = 3){ global $a; return $a+$b; }</p><p style="text-align:justify;">$c = add();</p><p style="text-align:justify;">echo $a;</p>	NULL	5	8	7	5<p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Biến qua hàm không thay đổi do gọi hàm không truyền tham số.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 3: PHP và MySQL cơ bản, Mục 3.2.1. Biến, toán tử, cấu trúc lập trình với PHP.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: 5</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Biến qua hàm không thay đổi do gọi hàm không truyền tham số.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 3: PHP và MySQL cơ bản, Mục 3.2.1. Biến, toán tử, cấu trúc lập trình với PHP.</p>
<p style="text-align:justify;">Chạy chương trình sau hiển thị kết quả gì?</p><p style="text-align:justify;">$a = 7;</p><p style="text-align:justify;">function add(){ global $a; $a++; }</p><p style="text-align:justify;">add($a);</p><p style="text-align:justify;">echo $a;</p>	8	7	6	Chương trình báo lỗi.	8	<p><span style="font-weight: bold;">Đáp án đúng là</span>: 8</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Sử dụng biến toàn cục để thay đổi giá trị biến a.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 3: PHP và MySQL cơ bản, Mục 3.2.1. Biến, toán tử, cấu trúc lập trình với PHP.</p>
<p style="text-align:justify;">Chạy chương trình sau hiển thị kết quả gì?</p><p style="text-align:justify;">$a = 7;</p><p style="text-align:justify;">function add($b){ return $b++; }</p><p style="text-align:justify;">add($a);</p>	9	8	7	6	7<p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Hàm add không truyền tham số là biến a, do đó biến a không đổi.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 3: PHP và MySQL cơ bản, Mục 3.2.1. Biến, toán tử, cấu trúc lập trình với PHP.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: 7</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Hàm add không truyền tham số là biến a, do đó biến a không đổi.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 3: PHP và MySQL cơ bản, Mục 3.2.1. Biến, toán tử, cấu trúc lập trình với PHP.</p>
<p style="text-align:justify;">Chạy chương trình sau hiển thị kết quả gì?</p><p style="text-align:justify;">class Number {</p><p style="text-align:justify;">&nbsp;&nbsp;&nbsp;&nbsp; private $a = 5;</p><p style="text-align:justify;">&nbsp;&nbsp;&nbsp;&nbsp; public function __construct($b) { $a = $b + 3; }</p><p style="text-align:justify;">}</p><p style="text-align:justify;">$num = new Number();</p><p style="text-align:justify;">echo $num-&gt;a;</p>	8	Chương trình báo lỗi.	11	5	Chương trình báo lỗi.<p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Không truyền tham số vào constructor nên chương trình báo lỗi.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 3: PHP và MySQL cơ bản, Mục 3.2.1. Biến, toán tử, cấu trúc lập trình với PHP.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Chương trình báo lỗi.</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Không truyền tham số vào constructor nên chương trình báo lỗi.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 3: PHP và MySQL cơ bản, Mục 3.2.1. Biến, toán tử, cấu trúc lập trình với PHP.</p>
<p style="text-align:justify;">Chạy chương trình sau hiển thị kết quả gì?</p><p style="text-align:justify;">class Number {</p><p style="text-align:justify;">&nbsp;&nbsp;&nbsp;&nbsp; public static $a = 5;</p><p style="text-align:justify;">&nbsp;&nbsp;&nbsp;&nbsp; public function __construct($b) { $a = $b + 3; }</p><p style="text-align:justify;">}</p><p style="text-align:justify;">echo Number::$a;</p>	5	8	11	Lỗi chương trình.	5	<p><span style="font-weight: bold;">Đáp án đúng là</span>: 5</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Biến a không thay đổi nên khi gọi vẫn in tra giá trị ban đầu.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 3: PHP và MySQL cơ bản, Mục 3.2.1. Biến, toán tử, cấu trúc lập trình với PHP.</p>
<p style="text-align:justify;">Chạy chương trình sau hiển thị kết quả gì?</p><p style="text-align:justify;">$a = 7;</p><p style="text-align:justify;">function add(){ global $a++; }</p><p style="text-align:justify;">add($a);</p><p style="text-align:justify;">echo $a;</p>	7	8	Chương trình báo lỗi.	6	Chương trình báo lỗi.<p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Không thể dùng global với $a++</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 3: PHP và MySQL cơ bản, Mục 3.2.1. Biến, toán tử, cấu trúc lập trình với PHP.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Chương trình báo lỗi.</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Không thể dùng global với $a++</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 3: PHP và MySQL cơ bản, Mục 3.2.1. Biến, toán tử, cấu trúc lập trình với PHP.</p>
