<p style="text-align:justify;">Phạm vi dự án là:</p>	Ranh giới giữa các công việc cần phải thực hiện để dự án đạt được mục tiêu.	Những công việc không thuộc về dự án.	Các công việc được tiến hành trước khi dự án bắt đầu	Những công việc cần phải thực hiện để dự án đạt được mục tiêu.	Những công việc cần phải thực hiện để dự án đạt được mục tiêu.<p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 3. Quản lý phạm vi dự án phần mềm.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Những công việc cần phải thực hiện để dự án đạt được mục tiêu.</p><p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 3. Quản lý phạm vi dự án phần mềm.</p>
<p style="text-align:justify;">Yếu tố nào sau đây KHÔNG PHẢI là đầu vào của hoạt động xây dựng WBS của dự án phần mềm?</p>	Báo cáo yêu cầu.	Báo cáo nghiên cứu khả thi.	Quy trình phát triển phần mềm.	Báo cáo phạm vi dự án.	Báo cáo nghiên cứu khả thi.<p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 3. Quản lý phạm vi dự án phần mềm.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Báo cáo nghiên cứu khả thi.</p><p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 3. Quản lý phạm vi dự án phần mềm.</p>
<p style="text-align:justify;">Yếu tố nào sau đây KHÔNG PHẢI là đặc trưng của WBS?</p>	Không nêu cách thức thực hiện công việc.	Có hướng đi từ trên xuống.	Có hướng đi từ dưới lên.	Được chia thành nhiều mức.	Có hướng đi từ dưới lên.<p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 3. Quản lý phạm vi dự án phần mềm.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Có hướng đi từ dưới lên.</p><p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 3. Quản lý phạm vi dự án phần mềm.</p>
<p style="text-align:justify;">Tiêu chí quan trọng nào được nhắc đến trong báo cáo quản lý phạm vi?</p>	Chất lượng.	Kinh phí.	Hoàn tất.	Lịch trình.	Hoàn tất.<p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 3. Quản lý phạm vi dự án phần mềm.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Hoàn tất.</p><p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 3. Quản lý phạm vi dự án phần mềm.</p>
<p style="text-align:justify;">Khuyết điểm của kỹ thuật thu thập yêu cầu phần mềm thông qua xem xét phần mềm hiện có là:</p>	Cần nhiều chi phí để để thu thập thông tin từ nhật ký	Thông tin thu được từ nhật ký sẽ không khách quan.	Thông tin từ nhật ký có thể chưa cập nhật kịp thời.	Cần nhiều thời gian để thu thập thông tin từ nhật ký.	Thông tin từ nhật ký có thể chưa cập nhật kịp thời.<p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 3. Quản lý phạm vi dự án phần mềm.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Thông tin từ nhật ký có thể chưa cập nhật kịp thời.</p><p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 3. Quản lý phạm vi dự án phần mềm.</p>
<p style="text-align:justify;">Kỹ thuật thu thập yêu cầu phần mềm nào hiệu quả nhất nhưng cần rất nhiều thời gian để thực hiện?</p>	Xem xét phần mềm hiện có.	Phỏng vấn.	Ấn định công việc tạm thời.	Họp nhóm.	Phỏng vấn.<p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 3. Quản lý phạm vi dự án phần mềm.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Phỏng vấn.</p><p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 3. Quản lý phạm vi dự án phần mềm.</p>
<p style="text-align:justify;">Phạm vi dự án phần mềm KHÔNG đề cập đến:</p>	Các công việc liên quan đến việc tạo ra sản phẩm phần mềm.	Các kỹ thuật được sử dụng để tạo ra sản phẩm phần mềm.	Các quá trình được sử dụng để tạo ra sản phẩm phần mềm.	Thời gian và chi phí phát triển phầm mềm.	Thời gian và chi phí phát triển phầm mềm.<p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 3. Quản lý phạm vi dự án phần mềm.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Thời gian và chi phí phát triển phầm mềm.</p><p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 3. Quản lý phạm vi dự án phần mềm.</p>
<p style="text-align:justify;">Quản lý phạm vi dự án phần mềm KHÔNG bao gồm các hoạt động nào?</p>	Thiết kế và xây dựng phần mềm.	Xây dựng cấu trúc phân chia công việc.	Thu thập yêu cầu và xác định phạm vi.	Xác nhận và kiểm tra phạm vi.	Thiết kế và xây dựng phần mềm.<p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 3. Quản lý phạm vi dự án phần mềm.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Thiết kế và xây dựng phần mềm.</p><p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 3. Quản lý phạm vi dự án phần mềm.</p>
<p style="text-align:justify;">Quản lý phạm vi dự án là:</p>	Các quy trình kiểm soát những công việc của dự án và những công việc không thuộc dự án.	Các quy trình xác định những công việc của dự án và những công việc không thuộc dự án.	Các quy trình xác định và kiểm soát những kế hoạch thực hiện dự án.	Các quy trình xác định và kiểm soát những công việc của dự án và những công việc không thuộc dự án.	Các quy trình xác định và kiểm soát những công việc của dự án và những công việc không thuộc dự án.<p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 3. Quản lý phạm vi dự án phần mềm.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Các quy trình xác định và kiểm soát những công việc của dự án và những công việc không thuộc dự án.</p><p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 3. Quản lý phạm vi dự án phần mềm.</p>
<p style="text-align:justify;">Chọn thứ tự đúng các bước thu thập yêu cầu phần mềm:</p>	Thu thập yêu cầu, phân tích yêu cầu, đánh giá yêu cầu, đặc tả yêu cầu.	Thu thập yêu cầu, phân tích yêu cầu, đặc tả yêu cầu, đánh giá yêu cầu.	Thu thập yêu cầu, đặc tả yêu cầu, phân tích yêu cầu, đánh giá yêu cầu.	Thu thập yêu cầu, đánh giá yêu cầu, phân tích yêu cầu, đặc tả yêu cầu.	Thu thập yêu cầu, phân tích yêu cầu, đặc tả yêu cầu, đánh giá yêu cầu.<p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 3. Quản lý phạm vi dự án phần mềm.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Thu thập yêu cầu, phân tích yêu cầu, đặc tả yêu cầu, đánh giá yêu cầu.</p><p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 3. Quản lý phạm vi dự án phần mềm.</p>
